Fall 2018,,,,,,,,,,,,,,,,,,,,,,
Subject,CatalogNbr,ClassDescr,Section,Instructor,Consent,EnrlCap,TopicDescr,MeetingStartDt,MeetingEndDt,FacilityId,MeetingTimeStart,MeetingTimeEnd,Mon,Tues,Wed,Thurs,Fri,Sat,Sun,UnitsMin,UnitsMax,ClassAssnComponent
CIS,15,Sem/Undergraduate,A,"Cornell,Sheryl A",No Special Consent Required,250, ,8/20/2018,12/7/2018,DUE1109,5:30 PM,6:20 PM,N,N,Y,N,N,N,N,0,0,SEM
CIS,18,CS Prof Dev Seminar,A,"DeLoach,Scott A",No Special Consent Required,500,,8/20/2018,12/7/2018, ,,,N,N,N,N,N,N,N,0,0,ACT
CIS,90,CIS Scholars Seminar,A,"Howell,Rodney R",No Special Consent Required,100, ,8/20/2018,12/7/2018,DUF1107,3:30 PM,4:45 PM,N,N,N,N,Y,N,N,0,0,SEM
CIS,101,Intro to Computing Systems,A,"Lang,Dennis J",No Special Consent Required,30, ,8/20/2018,10/12/2018,DUE1113,2:30 PM,3:20 PM,N,N,Y,N,N,N,N,1,1,LEC
CIS,101,Intro to Computing Systems,B,"Lang,Dennis J",No Special Consent Required,30, ,8/20/2018,10/12/2018,DUE1113,1:30 PM,2:20 PM,N,N,Y,N,N,N,N,1,1,LEC
CIS,101,Intro to Computing Systems,ZA,"Lang,Dennis J",No Special Consent Required,75, ,8/20/2018,10/12/2018,DISTANCE,,,N,N,N,N,N,N,N,1,1,LEC
CIS,102,Intro to Spreadsheet Appl,A,"Lang,Dennis J",No Special Consent Required,30, ,8/20/2018,10/12/2018,DUE1113,2:30 PM,3:20 PM,Y,N,N,N,N,N,N,1,1,LEC
CIS,102,Intro to Spreadsheet Appl,B,"Lang,Dennis J",No Special Consent Required,30, ,8/20/2018,10/12/2018,DUE1113,3:30 PM,4:20 PM,Y,N,N,N,N,N,N,1,1,LEC
CIS,102,Intro to Spreadsheet Appl,ZA,"Lang,Dennis J",No Special Consent Required,75, ,8/20/2018,10/12/2018,DISTANCE,,,N,N,N,N,N,N,N,1,1,LEC
CIS,103,Intro to Database Appl,A,"Lang,Dennis J",No Special Consent Required,30, ,10/15/2018,12/7/2018,DUE1113,2:30 PM,3:20 PM,Y,N,N,N,N,N,N,1,1,LEC
CIS,103,Intro to Database Appl,B,"Lang,Dennis J",No Special Consent Required,30, ,10/15/2018,12/7/2018,DUE1113,3:30 PM,4:20 PM,Y,N,N,N,N,N,N,1,1,LEC
CIS,103,Intro to Database Appl,ZA,"Lang,Dennis J",No Special Consent Required,75, ,10/15/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,1,1,LEC
CIS,104,Intro to Word Processing Appl,A,"Lang,Dennis J",No Special Consent Required,30, ,10/15/2018,12/7/2018,DUE1113,2:30 PM,3:20 PM,N,N,Y,N,N,N,N,1,1,LEC
CIS,104,Intro to Word Processing Appl,B,"Lang,Dennis J",No Special Consent Required,30, ,10/15/2018,12/7/2018,DUE1113,1:30 PM,2:20 PM,N,N,Y,N,N,N,N,1,1,LEC
CIS,104,Intro to Word Processing Appl,ZA,"Lang,Dennis J",No Special Consent Required,75, ,10/15/2018,12/7/2018,DISTANCE,,,N,N,N,N,N,N,N,1,1,LEC
CIS,111,Intro to Computer Programming,A,"Thornton,Julie A",No Special Consent Required,30, ,8/20/2018,10/12/2018,DUE1113,4:30 PM,6:20 PM,N,Y,N,Y,N,N,N,3,3,LAB
CIS,111,Intro to Computer Programming,B,"Thornton,Julie A",No Special Consent Required,30, ,10/15/2018,12/7/2018,DUE1113,4:30 PM,6:20 PM,N,Y,N,Y,N,N,N,3,3,LAB
